date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:44	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/welcome/from-the-head-of-school)
13:55:44	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/welcome/vision-mission-and-values)
13:55:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:54:45%20GMT	https://www.aishk.edu.hk/parentlounge	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/parentlounge	(from https://www.aishk.edu.hk/welcome/vision-mission-and-values)
13:55:45	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/welcome/vision-mission-and-values)
13:55:45	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/welcome/vision-mission-and-values)
13:55:46	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/welcome/facts-at-a-glance)
13:55:46	1282924/1282924	---M--	200	added ('OK')	image/png	etag:%223fb1d2aaf6140932fed0437a50ad6714%22	https://media.sg.digistormhosting.com.au/aishk-hk-244-website/video/star-01.png?v=1559394606	C:/Users/gavin_ha/Downloads/httrack/AISHK/media.sg.digistormhosting.com.au/aishk-hk-244-website/video/star-013647.png	(from https://www.aishk.edu.hk/welcome/vision-mission-and-values)
13:55:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:54:45%20GMT	https://www.aishk.edu.hk/parentlounge	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/parentlounge	(from https://www.aishk.edu.hk/welcome/facts-at-a-glance)
13:55:46	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/welcome/facts-at-a-glance)
13:55:46	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/welcome/facts-at-a-glance)
13:55:47	1495829/1495829	---M--	200	added ('OK')	image/jpeg	etag:%228a885bdb5f78e40324bb149e55de9196%22	https://media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Fact-at-a-Glance_2020-Page1.jpg?v=1606877325	C:/Users/gavin_ha/Downloads/httrack/AISHK/media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Fact-at-a-Glance_2020-Page17df6.jpg	(from https://www.aishk.edu.hk/welcome/facts-at-a-glance)
